date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winp,bsl_h_mu,bsl_h_s,bsl_a_mu,bsl_a_s
1916-07-02,Chile,Uruguay,0.0,4.0,Copa América,Buenos Aires,Argentina,True,0.5,25.0,8.333,25.0,8.333
1916-07-06,Argentina,Chile,6.0,1.0,Copa América,Buenos Aires,Argentina,False,0.5071080599413444,25.0,8.333,23.082828437636586,6.013095972273565
1916-07-08,Brazil,Chile,1.0,1.0,Copa América,Buenos Aires,Argentina,True,0.5121310677588549,25.0,8.333,22.083987868288382,4.943915626829121
1916-07-10,Argentina,Brazil,1.0,1.0,Copa América,Buenos Aires,Argentina,False,0.5318318037407644,26.91823877819069,5.121688584374354,22.97274500567724,4.600428330995583
1916-07-12,Brazil,Uruguay,1.0,2.0,Copa América,Buenos Aires,Argentina,True,0.48136028355215854,24.53658439215663,3.574266722372316,26.917171562363418,6.013095972273565
1916-07-17,Argentina,Uruguay,0.0,0.0,Copa América,Avellaneda,Argentina,False,0.4851920228745219,24.979934541113035,3.653058939703366,26.008453599608245,3.515418531260112
1917-09-30,Uruguay,Chile,4.0,0.0,Copa América,Montevideo,Uruguay,False,0.5399663924747211,25.607525992851144,2.7460559128151636,22.797576160940444,4.296618923005598
1917-10-03,Argentina,Brazil,4.0,2.0,Copa América,Montevideo,Uruguay,True,0.5113388129546644,25.412872080748922,2.779848411766363,24.857659588928072,3.131179576819773
1917-10-06,Argentina,Chile,1.0,0.0,Copa América,Montevideo,Uruguay,True,0.5993747852392096,25.88732188165037,2.2781408898498134,22.11106892814177,2.794875427614095
1917-10-07,Uruguay,Brazil,4.0,0.0,Copa América,Montevideo,Uruguay,False,0.548176685095801,25.887946774139905,2.4008165813214952,24.25570463632069,2.3915344313115936
1917-10-12,Brazil,Chile,5.0,0.0,Copa América,Montevideo,Uruguay,True,0.5087334278341398,23.481125611074578,1.9617346297288034,23.25237379156297,2.1447907242792827
