"","team","elo"
"1","Brazil",2242.1150485231
"2","Argentina",2208.03414700682
"3","Spain",2106.49895413415
"4","Netherlands",2098.15016634407
"5","Belgium",2085.68618061921
"6","Portugal",2061.64430256451
"7","Italy",2061.45493049824
"8","France",2052.08124458779
"9","Denmark",2028.16133566807
"10","Germany",2023.43528436613
"11","Uruguay",2015.36543360341
"12","Switzerland",1994.84539869489
"13","Colombia",1990.59991669832
"14","England",1988.72076305973
"15","Croatia",1976.46794507817
"16","Serbia",1951.46630027479
"17","Iran",1927.35171698482
"18","Peru",1914.60059767658
"19","Ecuador",1913.67440305312
"20","Korea Republic",1896.87393569884
"21","Mexico",1893.78556525375
"22","Japan",1888.60267378925
"23","Hungary",1884.56747897502
"24","USA",1879.63328880365
"25","Canada",1874.41171092367
"26","Ukraine",1873.92381860675
"27","Poland",1866.76238885702
"28","Morocco",1865.29405065799
"29","Senegal",1847.27580616257
"30","Czech Republic",1846.34378055882
"31","Costa Rica",1845.04828014977
"32","Wales",1839.51127955413
"33","Basque Country",1835.95787122305
"34","Algeria",1835.14315937108
"35","Australia",1830.64494160579
"36","Scotland",1820.76495409563
"37","Paraguay",1818.76980077533
"38","Tunisia",1818.54113661349
"39","Yugoslavia",1816.97448867772
"40","Russia",1816.93927440907
"41","Norway",1800.12698581029
"42","Sweden",1797.5645841159
"43","Czechoslovakia",1785.91632328374
"44","Austria",1783.96208408825
"45","Panama",1779.88152301476
"46","Greece",1773.07575276189
"47","German DR",1768.616685568
"48","Venezuela",1765.64021762157
"49","Ivory Coast",1761.38851099781
"50","Chile",1758.14223301807
"51","Republic of Ireland",1754.45825032088
"52","Georgia",1748.91485735524
"53","Saudi Arabia",1748.64612901771
"54","Jersey",1744.32842356523
"55","Turkey",1744.12547189568
"56","Egypt",1737.01321295443
"57","Mali",1735.31153856539
"58","Finland",1733.98358028465
"59","Guernsey",1731.87407044646
"60","Qatar",1726.44206875244
"61","Northern Cyprus",1719.48474273045
"62","Catalonia",1714.84121816842
"63","Nigeria",1712.96244626085
"64","Slovenia",1711.55931086587
"65","Jordan",1710.10093632045
"66","Isle of Man",1706.06916763741
"67","Iraq",1699.14003304207
"68","Padania",1692.95662897696
"69","Bolivia",1691.54717960619
"70","Burkina Faso",1690.90088333347
"71","Cameroon",1690.0927158263
"72","Uzbekistan",1687.63423744579
"73","Israel",1683.17320643061
"74","Romania",1680.84283289662
"75","New Zealand",1679.11397426458
"76","Haiti",1674.01897910215
"77","Bosnia and Herzegovina",1669.38946645307
"78","Oman",1666.85908729272
"79","Jamaica",1658.81362377667
"80","Iraqi Kurdistan",1657.54300953378
"81","Ghana",1648.9592891003
"82","Abkhazia",1644.88255840266
"83","Slovakia",1644.56515335736
"84","Iceland",1639.59525546127
"85","Kárpátalja",1638.1424129568
"86","North Macedonia",1637.76494260764
"87","South Africa",1630.96869094632
"88","Andalusia",1629.70909408903
"89","United Arab Emirates",1620.74083828176
"90","County of Nice",1619.52422713214
"91","Réunion",1611.11142900268
"92","Northern Ireland",1610.75187039611
"93","Guatemala",1606.43799717127
"94","Cape Verde",1604.39805433412
"95","Kosovo",1603.03003700074
"96","Montenegro",1602.85759469778
"97","Occitania",1602.01679732246
"98","Kernow",1599.4421152948
"99","Menorca",1598.0442606421
"100","Isle of Wight",1597.08669261699
"101","Albania",1596.03475924187
"102","Bahrain",1591.58085104071
"103","El Salvador",1588.45324455748
"104","China PR",1586.1904657117
"105","Honduras",1585.94398016861
"106","Bulgaria",1584.38992621564
"107","Syria",1579.13059268877
"108","Ynys Môn",1579.05946369983
"109","Panjab",1577.99356679116
"110","Gabon",1575.10480359019
"111","Rhodes",1571.95730867311
"112","Corsica",1570.85291937609
"113","Yorkshire",1570.60426895029
"114","Artsakh",1570.45418443196
"115","DR Congo",1567.36856928888
"116","Galicia",1566.21772279342
"117","Chameria",1566.08458362541
"118","Cascadia",1552.72468669839
"119","Arameans Suryoye",1552.13585699398
"120","Vietnam",1547.90988795787
"121","Ellan Vannin",1546.64502957172
"122","Palestine",1546.36015083112
"123","French Guiana",1546.13594416952
"124","Gambia",1542.70044814938
"125","Zambia",1542.41282086707
"126","Maule Sur",1537.0442726614
"127","Mauritania",1533.66551441521
"128","Asturias",1531.71521823606
"129","Solomon Islands",1530.97795942695
"130","Martinique",1526.43182750432
"131","Zanzibar",1525.99429827931
"132","Canary Islands",1523.93747764163
"133","Armenia",1522.93087535716
"134","Surrey",1522.23310733154
"135","Western Armenia",1521.80013576484
"136","Biafra",1519.72160170974
"137","Parishes of Jersey",1515.8781334632
"138","Uganda",1513.42122056264
"139","Åland Islands",1511.75262510979
"140","Equatorial Guinea",1511.74945444862
"141","Mapuche",1511.72503383354
"142","North Korea",1511.16241402926
"143","Benin",1509.72024602675
"144","Silesia",1509.3725768658
"145","Namibia",1509.30868377841
"146","Greenland",1508.91031803495
"147","Brittany",1507.12831448657
"148","Papua New Guinea",1506.68213819935
"149","Crimea",1506.2669180829
"150","Angola",1505.65626171914
"151","Curaçao",1505.48794839168
"152","Romani people",1505.33514534832
"153","Kenya",1504.93413363725
"154","Guinea",1503.23569127759
"155","Estonia",1502.26706822529
"156","Suriname",1501.66514816786
"157","Felvidék",1501.53023127716
"158","Central Spain",1493.46921662227
"159","Thailand",1492.73413426081
"160","Trinidad and Tobago",1492.68334506046
"161","Fiji",1490.62961426231
"162","Luxembourg",1489.88213949284
"163","Tajikistan",1489.05018149906
"164","Togo",1487.28272244184
"165","New Caledonia",1485.79173774251
"166","Madrid",1485.66324446503
"167","North Vietnam",1483.49954095773
"168","Guinea-Bissau",1483.35013991985
"169","Belarus",1482.22508093507
"170","Sápmi",1480.1258193331
"171","Matabeleland",1478.28241257274
"172","South Ossetia",1477.73323836577
"173","Western Sahara",1477.59372155568
"174","Yoruba Nation",1477.44361574697
"175","United Koreans in Japan",1473.69258281894
"176","Libya",1471.52975864341
"177","Republic of St. Pauli",1470.5196046157
"178","Kazakhstan",1470.3583210091
"179","Somaliland",1469.2761292452
"180","Ethiopia",1468.62868362815
"181","Monaco",1468.16080681749
"182","Madagascar",1464.72929667318
"183","Lebanon",1459.99769462415
"184","Cuba",1458.66697337119
"185","Brunei Darussalam",1454.53166599136
"186","Azerbaijan",1452.94188018514
"187","Aymara",1451.23069350506
"188","Zimbabwe",1449.20559756354
"189","Székely Land",1444.3432047582
"190","Provence",1442.30651059257
